name,img_url,type,thc_level,most_common_terpene,description,relaxed,happy,euphoric,uplifted,sleepy,dry_mouth,dry_eyes,dizzy,paranoid,anxious,stress,pain,depression,anxiety,insomnia,hungry,talkative,headache,ptsd,creative,energetic,fatigue,focused,giggly,lack_of_appetite,nausea,headaches,bipolar_disorder,cancer,tingly,cramps,aroused,gastrointestinal_disorder,inflammation,muscle_spasms,eye_pressure,migraines,asthma,anorexia,arthritis,add/adhd,muscular_dystrophy,hypertension,glaucoma,pms,seizures,spasticity,spinal_cord_injury,fibromyalgia,crohn's_disease,phantom_limb_pain,epilepsy,multiple_sclerosis,parkinson's,tourette's_syndrome,alzheimer's,hiv/aids,tinnitus,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
Sherbert,https://images.leafly.com/flower-images/sunset-sherbert.jpg,Hybrid,18%,Caryophyllene,"Heir to the GSC throne is Sherbert, also known as Sherbet and/or Sunset Sherbert, an indica-leaning hybrid with intoxicatingly potent effects. Bred by Mr. Sherbinski, Sherbert inherits the genetic lineage of its GSC parent, whose ancestors include the famed OG Kush, Cherry Pie, and Durban Poison. Crossed with Pink Panties, Sherbert exhibits powerful full-body effects elevated by a jolt of cerebral energy. A complex aroma colors Sherbert with notes of skunky citrus, sweet berry, and that candy-like smell redolent of its GSC parent. Stress, tension, and sour moods melt away with the carefree mindset and physical relaxation that comes with this rich hybrid.",59%,50%,43%,37%,0%,18%,9%,3%,3%,3%,28%,19%,22%,21%,11%,0%,0%,0%,0%,24%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.005,0.433,0.194,0.154,0.333,0.0,0.0,6.479,0.064,0.357,0.113,5.27,1.424,0.021,13.016,6.074,,2.692,11.274,0.035,0.01,,,,,,,,,,,,,,
Granddaddy Purple,https://images.leafly.com/flower-images/granddaddy-purple.png,Indica,17%,Myrcene,"Introduced in 2003 by Ken Estes, Granddaddy Purple (or GDP) is a famous indica cross of Purple Urkle and Big Bud. This California staple inherits a complex grape and berry aroma from its Purple Urkle parent, while Big Bud passes on its oversized, compact bud structure. GDP flowers bloom in shades of deep purple, a contrasting backdrop for its snow-like dusting of white crystal resin.",56%,44%,42%,0%,46%,28%,16%,6%,4%,0%,36%,31%,20%,29%,28%,31%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.214,0.0,0.011,0.028,0.0,7.08,0.0,0.017,0.514,4.672,0.041,0.0,1.686,0.187,,0.0,0.006,0.0,0.0,,45.65,0.0,6.16,0.76,2.21,0.07,0.11,0.0,0.0,0.19,0.92,0.68,
Mimosa,,Hybrid,19%,Myrcene,"Mimosa is a hybrid marijuana strain made by crossing Clementine with Purple Punch. In small doses, this strain produces happy, level-headed effects that will leave you feeling uplifted and motivated enough to take on any mundane task. In large doses, Mimosa may make you feel sleepy and relaxed. This strain has a strong aroma and flavor that reminds you of its namesake - with notes of fruit and citrus flavors bursting through. Medical marijuana patients choose this strain to help relieve symptoms associated with depression and stress. Mimosa is a rising star in the cannabis community, so don't pass up an opportunity to enjoy this special strain.",38%,51%,0%,50%,0%,11%,8%,2%,2%,3%,17%,9%,16%,16%,0%,0%,0%,0%,0%,0%,41%,9%,37%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.004,0.006,0.0,0.003,0.112,0.0,0.153,0.0,0.006,0.042,0.045,0.013,0.0,0.138,0.431,,0.028,0.174,0.0,0.0,,0.46,0.0,18.15,0.0,0.0,0.05,0.0,0.0,0.0,0.28,0.09,0.0,
Do-Si-Dos,https://images.leafly.com/flower-images/do-si-dos.jpg,Indica,21%,Limonene,"Do-Si-Dos is an indica-dominant hybrid marijuana strain with qualities similar to its parent, OGKB, a GSC-phenotype. With glittering trichomes, bright pistils, and lime green and lavender leaves, this strain is a feast for eyes. Its aroma is pungent, sweet, and earthy with slight floral funkiness. These classic OG aromas blend nicely with medical-grade body effects that lean toward the sedative side with the addition of Face Off OG genetics. Enjoy a stoney, in-your-face buzz off the start that melts down over the body, prettifying the consumer with relaxation that emanates outward. ",65%,40%,41%,27%,31%,15%,9%,5%,2%,1%,23%,17%,15%,20%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.025,0.093,0.0,0.003,0.0,0.0,0.541,0.0,0.01,0.207,0.376,0.133,0.0,1.188,0.201,,0.181,0.769,0.0,0.0,,2.2,0.0,70.13,0.06,0.0,0.17,0.0,0.0,0.0,2.5,0.39,0.0,
Jack Herer,https://images.leafly.com/flower-images/jack-herer.jpg,Sativa,17%,Terpinolene,"Jack Herer is a sativa-dominant cannabis strain that has gained as much renown as its namesake, the marijuana activist and author of The Emperor Wears No Clothes. Combining a Haze hybrid with a Northern Lights #5 and Shiva Skunk cross, Sensi Seeds created Jack Herer hoping to capture both cerebral elevation and heavy resin production. Its rich genetic background gives rise to several different variations of Jack Herer, each phenotype bearing its own unique features and effects. However, consumers typically describe this 55% sativa hybrid as blissful, clear-headed, and creative.",0%,54%,46%,50%,0%,25%,15%,6%,6%,4%,34%,20%,27%,27%,0%,0%,0%,0%,0%,41%,45%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.046,0.0,0.017,0.012,0.0,0.0,0.0,0.039,0.065,0.398,0.0,0.106,0.056,0.044,0.234,0.074,,0.073,0.074,0.038,0.029,,2.64,0.0,17.58,0.02,0.02,0.07,0.0,0.0,0.0,0.91,0.19,0.03,
Pineapple Express,https://images.leafly.com/flower-images/pineapple-express.png,Hybrid,18%,Caryophyllene,"Pineapple Express combines the potent and flavorful forces of parent strains Trainwreck and Hawaiian. The smell is likened to fresh apple and mango, with a taste of pineapple, pine, and cedar. This hard-hitting hybrid provides a long-lasting energetic buzz perfect for productive afternoons and creative escapes.",37%,60%,44%,47%,0%,25%,13%,5%,5%,4%,29%,15%,24%,22%,0%,0%,0%,0%,0%,0%,39%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.003,0.0,0.004,0.0,0.0,0.129,0.005,0.087,0.035,0.31,0.0,0.0,0.15,0.336,,0.0,0.164,0.0,0.0,,81.87,0.08,0.0,0.66,0.68,0.0,0.56,0.0,0.0,0.0,1.91,1.18,
Green Crack,https://images.leafly.com/flower-images/green-crack.png,Sativa,17%,Myrcene,"Green Crack is a potent sativa strain known for its energizing effects. But don’t let the name fool you: this is pure cannabis. Few strains compare to Green Crack’s sharp energy and focus as it induces an invigorating mental buzz that keeps you going throughout the day. With a tangy, fruity flavor redolent of mango, Green Crack is a great daytime strain that may help consumers fight fatigue, stress, and depression. Because the name ""Green Crack"" perpetuates a negative image of cannabis, some people have taken to calling this strain Cush (with a ‘C’) or Green Cush instead.",0%,54%,43%,53%,0%,27%,16%,6%,8%,6%,34%,18%,27%,27%,0%,0%,0%,0%,0%,0%,60%,17%,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.006,0.007,0.0,0.0,0.008,0.0,0.039,0.24,0.004,0.075,0.074,0.106,0.0,0.186,0.588,,0.059,0.145,0.0,0.0,,0.83,0.03,21.23,0.02,0.0,0.06,0.0,0.0,0.0,1.73,0.11,0.0,
Bubba Kush,https://images.leafly.com/flower-images/bubba-kush.png,Indica,17%,Caryophyllene,"Bubba Kush is an indica strain that has gained notoriety in the US and beyond for its heavy tranquilizing effects. Sweet hashish flavors with subtle notes of chocolate and coffee come through on the exhale, delighting the palate as powerful relaxation takes over. From head to toe, muscles ease with heaviness as dreamy euphoria blankets the mind, crushing stress while bringing happy moods. Bubba Kush exhibits a distinctive, bulky bud structure with hues that range from forest green to pale purple.",61%,48%,44%,0%,49%,35%,19%,8%,6%,0%,35%,32%,20%,26%,29%,33%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.012,0.013,0.0,0.002,0.127,0.0,0.012,0.001,0.011,0.118,0.145,0.05,0.0,0.446,0.182,,0.083,0.567,0.002,0.0,,0.46,0.0,17.75,0.03,0.0,0.06,0.0,0.0,0.0,0.37,0.09,0.0,
Northern Lights,https://images.leafly.com/flower-images/northern-lights.png,Indica,16%,Myrcene,"Northern Lights is an indica marijuana strain made by crossing Afghani with Thai. Northern Lights produces euphoric effects that settle in firmly throughout the body, relaxing muscles and easing the mind. Consumers say this strain has a pungently sweet and spicy flavor profile that is smooth on the exhale. Medical marijuana patients choose Northern Lights to help relieve symptoms associated with depression, stress, pain and insomnia. Growers say this strain features purple and crystal-coated buds and grows best indoors with a flowering time of 45-50 days.",60%,51%,48%,31%,39%,31%,16%,7%,4%,0%,39%,29%,23%,29%,26%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.025,0.01,0.0,0.0,0.0,0.0,0.058,0.0,0.016,0.0,0.073,0.08,0.0,0.174,0.167,,0.136,0.975,0.008,0.0,,0.33,0.0,25.27,0.02,0.0,0.09,0.0,0.0,0.0,1.19,0.17,0.02,
Durban Poison,https://images.leafly.com/flower-images/durban-poison.jpg,Sativa,17%,Terpinolene,"This pure sativa originates from the South African port city of Durban. It has gained popularity worldwide for its sweet smell and energetic, uplifting effects. Durban Poison is the perfect strain to help you stay productive through a busy day, when exploring the outdoors, or to lend a spark of creativity. Growers and concentrate enthusiasts will both enjoy the over-sized resin glands which make this strain a quality choice for concentrate extraction. The buds are round and chunky, and leave a thick coating of trichomes on almost all areas of the plant.",0%,49%,44%,54%,0%,21%,12%,4%,5%,5%,28%,17%,24%,21%,0%,0%,0%,0%,0%,39%,54%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.02,0.008,0.189,0.002,0.002,0.0,0.0,0.0,0.0,1.087,0.02,2.082,0.054,0.024,3.913,0.069,,0.136,0.235,0.004,0.004,,79.94,0.0,0.0,0.89,0.75,0.0,0.21,0.0,0.0,0.0,2.26,2.56,
MAC,,Hybrid,20%,Myrcene,"Mac, aka Miracle Alien Cookies, is a hybrid marijuana strain made by crossing Alien Cookies with Starfighter and Columbian. MAC produces creative effects that are happy and uplifting. This strain features a smooth orange flavor that is balanced out by floral accents on a sweet, earthy finish. Growers say MAC nugs are gorgeous and covered in resin. Medical marijuana patients choose this strain to help relieve symptoms associated with stress and depression.",69%,65%,54%,48%,0%,15%,9%,4%,1%,1%,18%,15%,15%,18%,0%,0%,0%,0%,0%,27%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.015,0.031,0.007,0.003,0.0,0.0,0.184,0.046,0.027,0.266,0.127,0.163,0.0,0.362,0.043,,0.137,0.56,0.0,0.0,,0.41,0.0,16.63,0.02,0.0,0.03,0.0,0.0,0.0,1.0,0.08,0.0,
Cherry Pie,https://images.leafly.com/flower-images/cherry-pie.jpg,Hybrid,16%,Myrcene,"Cherry Pie's parents are Granddaddy Purple and Durban Poison. With buds that are dense and full of orange hairs and a touch of purple, this hybrid strain smells of sweet and sour cherry pie. The effects have been known to come on in minutes and stick around for a couple hours. ",57%,57%,48%,42%,0%,24%,14%,5%,4%,4%,33%,21%,25%,23%,13%,0%,0%,0%,0%,27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.178,0.0,0.0,0.019,0.144,0.029,0.0,0.499,0.211,,0.048,0.262,0.0,0.0,,0.65,0.0,19.19,0.0,0.0,0.05,0.0,0.0,0.0,0.59,0.09,0.0,
Wedding Crasher,,Hybrid,21%,Caryophyllene,"Produced by Symbiotic Genetics, Wedding Crasher is a beautiful hybrid cross of Wedding Cake and Purple Punch. By mixing the smooth vanilla flavors of Wedding Cake with the sweet grape notes of Purple Punch, Symbiotic has developed a mellow, earthy strain with sharp gassy highlights and a sweet berry finish. ",56%,57%,39%,45%,0%,15%,11%,3%,0%,1%,14%,11%,16%,15%,0%,0%,0%,3%,0%,0%,0%,0%,33%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.008,0.039,0.0,0.002,0.0,0.0,0.112,0.022,0.004,0.216,0.25,0.045,0.0,0.784,0.032,,0.064,0.395,0.0,0.0,,0.39,0.0,20.44,0.0,0.0,0.04,0.0,0.0,0.0,2.11,0.07,0.0,
